"OrderID","Region","State"
"LMXBPN","Nordeste","PI"
"NETVBF","Sudeste","RJ"
"ZPBARY","Sul","PR"
"FFPEEN","Sul","RS"
"JRUFVX","Nordeste","PB"
"VMIKUS","Sul","SC"
"ZAFMDP","Nordeste","BA"
"ZXEFTO","Sudeste","RJ"
"AEQDRK","Sudeste","SP"
"LCEEUY","Centro-Oeste","MT"
"ZDBUNK","Sudeste","MG"
"KUFESA","Centro-Oeste","GO"
"OTHRRG","Norte","AC"
"RCQSQS","Nordeste","BA"
"JDMHWV","Centro-Oeste","MT"
"HGFGQZ","Nordeste","MA"
"WCANTE","Norte","RR"
"KJPWHN","Nordeste","PB"
"RUSTML","Norte","AM"
"HRHWTH","Nordeste","PI"
"SKFBXU","Sul","SC"
"ZUEOTE","Sul","PR"
"BRNNOK","Sudeste","SP"
"ZRVNHC","Norte","AP"
"GKFXVY","Centro-Oeste","MT"
"VHSEVI","Norte","AP"
"HWEELE","Centro-Oeste","DF"
"MQLNFI","Centro-Oeste","DF"
"ASTCCD","Sudeste","SP"
"IKFTGY","Norte","AC"
"HIGCWL","Nordeste","BA"
"HIHLWS","Centro-Oeste","GO"
"BNLUKS","Sul","RS"
"NHPBVH","Nordeste","AL"
"DFRUMW","Norte","AC"
"NDGCDE","Centro-Oeste","MT"
"AOOHUZ","Norte","TO"
"KMJABI","Sudeste","MG"
"XBOCEL","Centro-Oeste","MT"
"LLFPNN","Sudeste","MG"
"KFWSPG","Nordeste","PB"
"ERYCCG","Sul","PR"
"PMMGSE","Nordeste","MA"
"PMPNVI","Nordeste","AL"
"KYHEMN","Sudeste","MG"
"XIQKYI","Sul","RS"
"BLWCYN","Sudeste","ES"
"YOSOAY","Sudeste","ES"
"UGRUFM","Nordeste","CE"
"QJCWQN","Centro-Oeste","DF"
"VTFFYL","Sul","PR"
"HDEBDN","Sudeste","ES"
"LPSHYK","Centro-Oeste","DF"
"MWZVOY","Sul","PR"
"STWBMX","Sudeste","RJ"
"JTZDSU","Nordeste","MA"
"NNXWIH","Centro-Oeste","DF"
"NBWTXC","Sudeste","SP"
"CAGJZP","Centro-Oeste","MS"
"JPQTRX","Sudeste","MG"
"VKLLYG","Sudeste","RJ"
"VCSQNW","Nordeste","PE"
"NHGJAF","Nordeste","MA"
"MFKJCN","Sudeste","SP"
"YFAGJR","Sul","RS"
"POJKLY","Sul","SC"
"PPFTGE","Norte","AC"
"PSEZGS","Nordeste","CE"
"JJFXAE","Sul","PR"
"YBGNAP","Norte","TO"
"KHYPLD","Centro-Oeste","GO"
"IOLTCG","Centro-Oeste","MS"
"UUIUTI","Sudeste","RJ"
"UUMGFS","Sul","PR"
"QTSOXI","Sudeste","ES"
"EZVYNG","Norte","TO"
"ZWQTOA","Sudeste","MG"
"ICRFAJ","Centro-Oeste","MS"
"HOUNDM","Nordeste","PI"
"ANZYDV","Nordeste","PI"
"JVTSJR","Sudeste","MG"
"EMZBOF","Nordeste","CE"
"OASKHE","Norte","AP"
"DLFZAK","Centro-Oeste","DF"
"GYIXEP","Nordeste","PE"
"ZPSBCO","Centro-Oeste","MS"
"UKTPOM","Nordeste","PI"
"QFPQVZ","Norte","AP"
"YATZBL","Sudeste","ES"
"KQUUFA","Norte","AP"
"KSBRGI","Sul","PR"
"OPMHBC","Sudeste","ES"
"ZKSSQF","Norte","TO"
"GVFTPD","Sudeste","ES"
"MGCOTZ","Norte","RO"
"FUVPJF","Nordeste","PB"
"JDRHSI","Centro-Oeste","MT"
"FXTCSX","Sudeste","MG"
"QCLMDY","Norte","AM"
"LYGBMX","Centro-Oeste","MT"
"YYYHCI","Sul","PR"
"BRXPXX","Sudeste","SP"
"XOZYCI","Centro-Oeste","GO"
"NBYSIR","Norte","RO"
"CONQSV","Sul","SC"
"REVJCM","Sudeste","MG"
"QHOEHL","Sudeste","SP"
"DPRFDC","Centro-Oeste","MS"
"BEXJBH","Sudeste","SP"
"GMXUPS","Norte","PA"
"HLPVPM","Norte","AC"
"GHDPFG","Norte","AC"
"XVAZGU","Sudeste","ES"
"FACCAC","Sudeste","RJ"
"HWKBUG","Nordeste","CE"
"RTMJNC","Norte","AC"
"OITBDO","Nordeste","AL"
"LRKLEW","Norte","TO"
"ORGOXY","Nordeste","BA"
"DEPINL","Sudeste","ES"
"DFIKLP","Sudeste","MG"
"FZZIVP","Nordeste","AL"
"ZVMBLE","Sudeste","MG"
"MZBGKJ","Nordeste","CE"
"XYAXAI","Nordeste","PB"
"ALHLJF","Sudeste","RJ"
"BNADES","Sul","PR"
"HPBXOE","Norte","TO"
"OKUIZE","Nordeste","CE"
"PZJCZO","Norte","TO"
"IXOBCX","Norte","RR"
"ZNXBTW","Centro-Oeste","MS"
"PQZZOC","Norte","AP"
"QFUNBO","Nordeste","BA"
"NQOVQM","Nordeste","CE"
"TRJCEJ","Sudeste","RJ"
"DGBFJU","Centro-Oeste","DF"
"ZKNPCM","Nordeste","MA"
"YQSLTO","Sudeste","ES"
"LBUKUW","Centro-Oeste","DF"
"FTLNDI","Norte","RR"
"VVZUET","Centro-Oeste","DF"
"VWKINQ","Sudeste","RJ"
"ZZCAQO","Sudeste","MG"
"KYPEJV","Nordeste","CE"
"EEXPFQ","Sudeste","RJ"
"BRXZXW","Nordeste","PI"
"LMGTKN","Sul","PR"
"VHYZQC","Sul","RS"
"XAXHGM","Sudeste","MG"
"XGEPVW","Nordeste","PI"
"TLMLYG","Sul","RS"
"QHKABX","Sudeste","RJ"
"YYUJXX","Nordeste","MA"
"BRGWUL","Nordeste","PE"
"PWJPAZ","Sul","SC"
"WGIRDP","Sudeste","RJ"
"INLTVQ","Nordeste","BA"
"WOKOLQ","Nordeste","PB"
"EPFTLT","Norte","TO"
"RGSPEE","Nordeste","CE"
"DNMUBJ","Norte","AM"
"UYXPSM","Sudeste","ES"
"NMZNCF","Sudeste","SP"
"ZAUZQC","Sudeste","ES"
"DDYHGW","Sul","PR"
"ACVNWF","Nordeste","MA"
"SQZPSY","Sudeste","RJ"
"RKHHJA","Nordeste","CE"
"HVRUJC","Norte","RO"
"IXPCKV","Nordeste","AL"
"IXQNYD","Sul","PR"
"UETUNA","Nordeste","PB"
"DWJKUZ","Nordeste","MA"
"HOCZLS","Nordeste","PE"
"NAMPDY","Norte","PA"
"LTNDSB","Sul","PR"
"XNJYDV","Sul","PR"
"PYZXJL","Sudeste","MG"
"KRCQJS","Sudeste","MG"
"UVSBRI","Norte","AM"
"VJCNWS","Centro-Oeste","GO"
"ILGQXD","Norte","AC"
"BQQKEG","Sudeste","MG"
"GJKIHS","Sudeste","MG"
"ITCQFP","Centro-Oeste","GO"
"JGPGAO","Nordeste","CE"
"RVGQOF","Sudeste","RJ"
"QBQCIU","Sudeste","MG"
"HRJGEW","Sudeste","SP"
"JYGTJS","Sudeste","ES"
"THVGUI","Centro-Oeste","DF"
"JLNZZD","Norte","RO"
"KOZKNG","Sudeste","SP"
"FHCTZB","Centro-Oeste","GO"
"CPDFQO","Sul","PR"
"JFURRZ","Nordeste","PI"
"JCNDPG","Sudeste","SP"
"LBFBZZ","Norte","AM"
"XCSWBX","Sudeste","ES"
"MQRIZW","Sudeste","RJ"
"MRLLHX","Nordeste","AL"
"MSDXLT","Nordeste","AL"
"EPEBZQ","Sudeste","SP"
"QGOWDT","Centro-Oeste","MS"
"SDJCME","Centro-Oeste","MS"
"BNMBUS","Sudeste","SP"
"WCXXHH","Sudeste","RJ"
"EGVQUG","Sudeste","MG"
"UVIWBQ","Sudeste","RJ"
"TQKVAH","Centro-Oeste","MT"
"UIHGBQ","Sudeste","RJ"
"GZPSDH","Centro-Oeste","DF"
"QVJTBU","Centro-Oeste","GO"
"YSGJFG","Nordeste","PE"
"PQMTCP","Centro-Oeste","GO"
"VSRODM","Nordeste","PI"
"RUDYWS","Sul","PR"
"ZYYMLV","Nordeste","BA"
"EGPMNC","Sudeste","SP"
"LHFLGZ","Centro-Oeste","DF"
"NGEDIJ","Centro-Oeste","DF"
"PBKSKY","Centro-Oeste","GO"
"KPIJDR","Sul","SC"
"ATMUMF","Centro-Oeste","MT"
"IJJJTH","Norte","AP"
"VKFHAV","Sudeste","RJ"
"CZGCCK","Sul","SC"
"XDLJON","Nordeste","BA"
"WPGUDZ","Sudeste","MG"
"IQMBIQ","Sudeste","SP"
"QDGFEM","Norte","PA"
"RTHSHN","Centro-Oeste","MT"
"TTKDIB","Sudeste","ES"
"AZIETM","Sudeste","SP"
"BAHPCF","Sudeste","ES"
"KXFBYS","Sudeste","SP"
"QKSLJE","Sudeste","MG"
"EHRFZP","Nordeste","PB"
"MIWRVB","Sudeste","SP"
"VQNIFH","Norte","AP"
"DHWBYC","Sul","RS"
"HAMUXD","Sudeste","SP"
"TFJQRR","Sudeste","RJ"
"WANTTN","Centro-Oeste","MS"
"ABYUSZ","Sul","SC"
"PAHYBF","Sul","PR"
"IWWFMF","Norte","AP"
"FFPDCS","Centro-Oeste","MS"
"XELJWZ","Sudeste","RJ"
"TCFGNP","Norte","TO"
"ZVTOCU","Sul","PR"
"DWHGGP","Nordeste","BA"
"LBVXDV","Sudeste","RJ"
"GZLCPQ","Norte","PA"
"GZQVKF","Centro-Oeste","DF"
"INGNHJ","Norte","AM"
"OZQWPS","Sudeste","SP"
"MPQZHW","Norte","RR"
"HYXSXU","Sudeste","ES"
"VIKOBP","Centro-Oeste","DF"
"IKNMDN","Nordeste","PE"
"GVCAXO","Sudeste","ES"
"OAMPWG","Nordeste","MA"
"VWWEZA","Centro-Oeste","MS"
"BGAHKS","Sul","SC"
"ZYZBTW","Sudeste","RJ"
"ZYZSHN","Sul","PR"
"XZZBVA","Sudeste","SP"
"QYDOUA","Sudeste","MG"
"VHNZND","Centro-Oeste","GO"
"VCLCQG","Centro-Oeste","GO"
"STOSGI","Norte","PA"
"DTLAWG","Sudeste","RJ"
"DTVYXJ","Sul","RS"
"LFWVAH","Sudeste","MG"
"VHNLQN","Sudeste","MG"
"UFKDPQ","Sul","RS"
"RGSFMJ","Nordeste","PE"
"EAZUMF","Sul","RS"
"ZUYNZP","Nordeste","PI"
"TIGDAT","Sudeste","RJ"
"TIWZOE","Centro-Oeste","DF"
"UVGKKW","Sudeste","RJ"
"LAQYNU","Centro-Oeste","DF"
"XCVHVQ","Sul","RS"
"GWDRBC","Centro-Oeste","DF"
"JMXNBQ","Nordeste","PI"
"FHBWXC","Sul","SC"
"ACMHGF","Centro-Oeste","DF"
"OUUITC","Sudeste","SP"
"JVUCQZ","Norte","AM"
"QMJKZZ","Sudeste","SP"
"ONHCLQ","Sudeste","SP"
"OOBFRM","Sudeste","SP"
"VQCHYV","Centro-Oeste","DF"
"PFBDRU","Sudeste","SP"
"MAADZI","Nordeste","PB"
"YXANFE","Norte","RR"
"VMUONY","Sudeste","ES"
"DLORBF","Centro-Oeste","GO"
"PXPTQV","Sul","SC"
"MKKZYK","Norte","AP"
"CGDTRF","Sudeste","MG"
"QNTQJN","Centro-Oeste","GO"
"FFZBGV","Sul","RS"
"VQBAQV","Nordeste","BA"
"VJONEY","Sul","PR"
"BQTYHC","Sudeste","RJ"
"MCHQYG","Sudeste","SP"
"KNNPSQ","Sudeste","ES"
"GCGHBU","Norte","RO"
"NTMLVD","Centro-Oeste","DF"
"JFXIZB","Sudeste","ES"
"OGPAYQ","Centro-Oeste","MT"
"QRNBBZ","Nordeste","AL"
"NFMKEQ","Sul","PR"
"CCKZAT","Sul","RS"
"UHSBWK","Sudeste","MG"
"ZAAAED","Nordeste","BA"
"DTMPJQ","Centro-Oeste","GO"
"PGWASG","Norte","PA"
"PGZKDZ","Sul","SC"
"MZOSOU","Sudeste","ES"
"CREASV","Centro-Oeste","DF"
"GWDMMZ","Sudeste","ES"
"YFXLRX","Sul","RS"
"QPDVAA","Sudeste","SP"
"HZIOSB","Sul","SC"
"BWYUMZ","Centro-Oeste","GO"
"UJYPLO","Sudeste","ES"
"JVRPJQ","Sudeste","ES"
"JXNAGV","Sudeste","ES"
"GPDIGF","Norte","AP"
"XMLWXN","Sudeste","ES"
"UTZYJY","Centro-Oeste","DF"
"XDKVKA","Sudeste","SP"
"AHDGUP","Sudeste","RJ"
"DXZTCP","Centro-Oeste","DF"
"SHAKJZ","Norte","AP"
"YWWXFO","Sudeste","SP"
"DLNITD","Norte","AC"
"LNPLIV","Centro-Oeste","MS"
"OSVZGI","Nordeste","PB"
"PYDIMW","Nordeste","PE"
"RRPEVF","Sudeste","MG"
"QMPGWG","Centro-Oeste","GO"
"SCQVQZ","Sudeste","ES"
"KALDHB","Nordeste","PB"
"SNLFIH","Sudeste","MG"
"SYZSZK","Sul","SC"
"HIZRID","Sudeste","RJ"
"KVPCOB","Sudeste","SP"
"OKOIPX","Sul","RS"
"OLVASH","Centro-Oeste","GO"
"SJWCEU","Centro-Oeste","DF"
"AUFYWY","Sudeste","MG"
"QBSDEP","Sul","RS"
"BUXGHU","Sul","SC"
"UNVHSZ","Centro-Oeste","MT"
"YOAGYE","Norte","RR"
"MDLMBV","Nordeste","AL"
"XPDNMU","Centro-Oeste","MS"
"CQYAPE","Sudeste","SP"
"REMJXN","Centro-Oeste","DF"
"CAIMOA","Sudeste","ES"
"IRLWZJ","Norte","TO"
"IVCQSB","Sul","RS"
"JCALIO","Sudeste","MG"
"TDPQRT","Sul","RS"
"WTMZQI","Nordeste","CE"
"UTVZKV","Nordeste","PI"
"LADGXT","Nordeste","PI"
"QSTTIT","Nordeste","PB"
"QPDPWN","Sudeste","ES"
"PSUJXZ","Nordeste","AL"
"THQBZD","Sudeste","SP"
"VLHRGL","Centro-Oeste","DF"
"DTIJRH","Centro-Oeste","GO"
"XPXHLS","Sul","RS"
"UXIWVG","Sudeste","SP"
"YWKAXK","Nordeste","PI"
"LUNUUF","Norte","AC"
"QUMRCW","Sudeste","ES"
"QUOSYK","Sul","SC"
"PQMWCF","Nordeste","PB"
"JKIQTQ","Sudeste","ES"
"TBQSON","Norte","AC"
"FDBSHW","Sudeste","RJ"
"JASZRB","Norte","AM"
"ZLKPCO","Centro-Oeste","MT"
"KNFLBU","Sudeste","MG"
"GXZJEC","Sudeste","ES"
"LUNMCQ","Norte","RR"
"MHEBFY","Sul","RS"
"CJROLC","Centro-Oeste","GO"
"OHGIYP","Sudeste","RJ"
"NOUVAE","Sudeste","ES"
"KREHYQ","Norte","PA"
"JYNYFW","Sul","SC"
"CVPWVR","Centro-Oeste","MT"
"UFVJLK","Norte","RO"
"XHDIMQ","Nordeste","AL"
"VXCTMN","Sudeste","MG"
"IVFVRW","Centro-Oeste","DF"
"JDYDFL","Norte","AC"
"DOWQAK","Sudeste","RJ"
"IPXUVI","Sudeste","RJ"
"EXMVUV","Norte","PA"
"YTFNUL","Centro-Oeste","GO"
"EUEQBZ","Sudeste","SP"
"KFHIOO","Sudeste","ES"
"RKJKPE","Sudeste","RJ"
"QAFFYT","Norte","AM"
"CDDGGP","Norte","AC"
"IZBYPN","Sul","PR"
"UVAEPA","Sul","PR"
"MIVOBT","Sul","SC"
"XUKWLE","Nordeste","PB"
"VMBSGI","Sudeste","ES"
"ZEYLOK","Nordeste","PE"
"DXJNRC","Sudeste","SP"
"VSEHCL","Nordeste","BA"
"OUKXWC","Norte","PA"
"WTAWNV","Centro-Oeste","GO"
"LUFLSO","Nordeste","AL"
"OTANXP","Centro-Oeste","MS"
"WQJLOB","Centro-Oeste","GO"
"SRHRCU","Norte","RR"
"EZROUS","Sul","RS"
"IXGPPG","Sul","RS"
"DZJKMM","Sudeste","ES"
"BQCTRP","Centro-Oeste","MS"
"GIWHKP","Centro-Oeste","MT"
"GJADIP","Sudeste","SP"
"TVARMX","Nordeste","BA"
"HAGJJQ","Centro-Oeste","MT"
"RTWALV","Centro-Oeste","MT"
"UOLGRR","Sul","PR"
"NQCULK","Sudeste","RJ"
"QZQCRB","Norte","PA"
"OPABWF","Sul","PR"
"WNBQHN","Sudeste","SP"
"JIEGJW","Centro-Oeste","DF"
"IVUFSE","Sul","RS"
"YZMQCD","Sudeste","SP"
"YZYEZR","Sul","PR"
"PGJSEJ","Centro-Oeste","MT"
"GBEUEC","Sul","PR"
"RVNKVP","Sudeste","SP"
"TGFVFY","Centro-Oeste","GO"
"WLDUAV","Sudeste","SP"
"DECCXN","Sul","PR"
"KTPBTB","Sul","SC"
"WZRCBE","Sudeste","MG"
"HOQBJL","Nordeste","MA"
"USUAWJ","Nordeste","AL"
"PPWFGM","Sudeste","MG"
"VDYHLG","Norte","RR"
"SWGUGH","Centro-Oeste","GO"
"DYAMTH","Sul","PR"
"FUNRNT","Norte","AM"
"HGKOOZ","Norte","AP"
"LXGSWX","Sudeste","RJ"
"XIDJRW","Sul","PR"
"NYGMIV","Centro-Oeste","MS"
"MPMHPI","Sudeste","MG"
"MFSGTG","Centro-Oeste","GO"
"ZGZXMQ","Sul","SC"
"SXWFHX","Norte","RR"
"KBPJQY","Nordeste","CE"
"WJNLBG","Norte","PA"
"GFVGQK","Centro-Oeste","MS"
"SEYTYB","Nordeste","PE"
"AWOLUV","Sudeste","MG"
"DOGWTI","Sul","PR"
"SKIQUF","Nordeste","BA"
"LDWWHV","Norte","RR"
"NGMBEC","Sudeste","ES"
"WGWRPC","Norte","RO"
"GTUMHL","Norte","AC"
"QSNBZU","Sul","RS"
"XCVLRH","Sudeste","MG"
"XHEVXY","Norte","PA"
"FMZCGB","Sudeste","RJ"
"YWNMCK","Sul","PR"
"WCZAPD","Sudeste","MG"
"WEBEKB","Nordeste","BA"
"HPZOSV","Centro-Oeste","MT"
"LSHCNL","Sul","RS"
"YLRHRF","Nordeste","AL"
"YVSLDG","Sudeste","RJ"
"ODSERN","Nordeste","CE"
"VLERQF","Sudeste","ES"
"ZAKQRG","Sudeste","MG"
"XQIXNM","Centro-Oeste","MT"
"ZIVIIF","Nordeste","BA"
"EKBQLA","Nordeste","CE"
"MSYNUQ","Centro-Oeste","MT"
"ZNQCCN","Sul","PR"
"CNEWUG","Norte","TO"
"UEINHR","Centro-Oeste","MT"
"YEOIIT","Nordeste","CE"
"UGOMNK","Nordeste","CE"
"UHWDHX","Centro-Oeste","MT"
"WMPQTM","Sudeste","SP"
"VZZAUZ","Sul","RS"
"EODPMA","Centro-Oeste","MT"
"OAGPXS","Norte","RR"
"SJQNYO","Sudeste","ES"
"AVFZNJ","Sul","PR"
"VWTRVJ","Norte","AM"
"EVSFRM","Nordeste","PE"
"FYLLEL","Sudeste","SP"
"LXIKQV","Sudeste","SP"
"NBIXRK","Sudeste","MG"
"NBYFJR","Norte","AM"
"VHXTAW","Sudeste","MG"
"IGLCIN","Sudeste","ES"
"YCDDAM","Sudeste","RJ"
"WVVSFA","Nordeste","PE"
"JFLVGF","Sudeste","ES"
"SLGTPZ","Sul","RS"
"NJBTEX","Norte","PA"
"GPWMBJ","Nordeste","AL"
"GQMRCA","Nordeste","AL"
"CDJOCE","Centro-Oeste","MT"
"UUGAOT","Norte","AM"
"QSXYCL","Sudeste","MG"
"RIAOEV","Centro-Oeste","MT"
"JXVIPC","Sul","PR"
"XPYGWZ","Nordeste","CE"
"HFADBM","Sul","SC"
"ABYTCY","Norte","AC"
"YMBKZF","Sudeste","SP"
"YNKNQZ","Sul","RS"
"GSDOIY","Sudeste","RJ"
"QULJIK","Sudeste","ES"
"EZITMI","Centro-Oeste","MT"
"YDXGME","Sul","SC"
"KBEQOF","Sul","PR"
"DAEWNX","Sudeste","MG"
"FQUIMK","Centro-Oeste","MS"
"PEFWKI","Sudeste","RJ"
"WNZQQU","Norte","TO"
"VYXPGP","Centro-Oeste","DF"
"AMXDOK","Sudeste","RJ"
"GRVSSS","Sudeste","SP"
"CXJMUP","Centro-Oeste","MS"
"CXKHXW","Sudeste","RJ"
"EFAZTR","Centro-Oeste","MS"
"BKWYBZ","Sudeste","ES"
"TQPEGD","Sudeste","ES"
"FCFQWO","Sudeste","RJ"
"SJEPRS","Nordeste","BA"
"YPXABQ","Norte","AP"
"AQTSHL","Sul","SC"
"QCVHAO","Norte","RR"
"LYBXGK","Nordeste","BA"
"YASWRT","Sudeste","ES"
"THVARY","Sudeste","SP"
"LOWFEM","Sudeste","MG"
"LJSJOF","Sudeste","RJ"
"HKDRZF","Norte","RR"
"ZSASSW","Centro-Oeste","MS"
"NVRRPJ","Sudeste","MG"
"QPHZFL","Sudeste","ES"
"PCTYVV","Sul","SC"
"COYNTV","Norte","TO"
"KEHOCZ","Norte","PA"
"JFBTER","Centro-Oeste","MS"
"SKRXHW","Sul","PR"
"WAFRFB","Nordeste","CE"
"SALSRM","Centro-Oeste","GO"
"HPCWRW","Sudeste","SP"
"OIYETS","Centro-Oeste","MS"
"WTAENQ","Sul","RS"
"IYWSKM","Centro-Oeste","MS"
"RWZWJN","Sul","RS"
"MYIHKK","Sul","SC"
"LIOTTL","Sul","PR"
"LIVKXD","Sudeste","SP"
"HDTWLL","Norte","RR"
"RVRCTM","Nordeste","AL"
"WITQSN","Centro-Oeste","GO"
"NTKJML","Sudeste","MG"
"PAHMDL","Sudeste","SP"
"MSFJRB","Sudeste","MG"
"PQYSZD","Sudeste","ES"
"UKUEMO","Centro-Oeste","GO"
"YNXJXB","Sudeste","ES"
"YHDVLF","Norte","RR"
"EOTFDL","Sul","RS"
"LCDPXI","Nordeste","AL"
"LUJGWS","Nordeste","MA"
"ILVNGK","Sudeste","SP"
"MHLSVK","Nordeste","CE"
"SJVEMW","Centro-Oeste","GO"
"HDPRKX","Sudeste","MG"
"RTYBBG","Centro-Oeste","GO"
"BUYDFN","Nordeste","CE"
"YYPDPE","Norte","TO"
"MOEGRS","Nordeste","BA"
"CZCQPM","Sudeste","MG"
"XZDHYW","Nordeste","MA"
"HKDXKU","Sudeste","ES"
"GGORAI","Sudeste","MG"
"OMRITB","Sudeste","SP"
"LAPKRC","Centro-Oeste","DF"
"JMRUKK","Sul","SC"
"PBSBWR","Centro-Oeste","GO"
"IVWVBM","Sul","RS"
"SSXICQ","Sul","SC"
"SHPYQL","Norte","AC"
"VNFJGB","Sudeste","MG"
"TXIUKE","Sul","PR"
"AOJYDB","Sudeste","MG"
"UPRCVD","Sul","PR"
"ZPYFGK","Sul","RS"
"BYVHZT","Nordeste","BA"
"FFRMIG","Centro-Oeste","MT"
"FFUMIM","Sudeste","ES"
"NMTPQT","Sudeste","SP"
"GLBXWV","Sul","RS"
"LUZLQA","Nordeste","MA"
"XWIBFS","Centro-Oeste","MS"
"GRSAFG","Centro-Oeste","GO"
"KVFLPS","Centro-Oeste","MT"
"OKBZIW","Sul","SC"
"WIQBDI","Norte","TO"
"PBDUVH","Norte","AP"
"KDTQOG","Nordeste","PI"
"EFFPRQ","Sudeste","SP"
"CCLOZT","Sudeste","SP"
"OONRFB","Norte","RO"
"CQFSNX","Norte","RR"
"DLBBFZ","Sudeste","RJ"
"ISYPCE","Sul","SC"
"GOOKEX","Sudeste","MG"
"CKDRPQ","Sul","SC"
"IEQNIJ","Sudeste","MG"
"JGVMYD","Nordeste","BA"
"MWXKSL","Nordeste","PI"
"CYSNOP","Norte","RR"
"LFZEWB","Centro-Oeste","MT"
"IAAQEK","Centro-Oeste","MT"
"VXVYVW","Norte","RO"
"FDRVPM","Sudeste","SP"
"TINAFK","Sul","RS"
"MCNTNU","Sudeste","SP"
"MNNXUU","Nordeste","BA"
"MRHUJR","Centro-Oeste","GO"
"EWSALN","Sudeste","ES"
"KPIWYE","Sudeste","MG"
"ETSONR","Nordeste","PI"
"PSSHHL","Sudeste","MG"
"ARWECE","Sudeste","RJ"
"MMXOML","Sudeste","SP"
"ACCOWZ","Sul","RS"
"NQWAPX","Sul","SC"
"OYVXFT","Sul","SC"
"FMLURY","Sudeste","RJ"
"SNXUOO","Centro-Oeste","MT"
"NMPUTA","Sudeste","MG"
"LJBRYY","Centro-Oeste","MT"
