"OrderID","BuyerID","Age"
"UQOWDQ","VXTLVH,"20"
"MMGVHM","UQYQTO,"23"
"ORNCDG","HILWOQ,"31"
"LMXBPN","IBQGOQ,"21"
"NETVBF","MNSFGI,"26"
"ZPBARY","QYBKJU,"28"
"FFPEEN","AECLWV,"20"
"JRUFVX","CEPUXQ,"37"
"VMIKUS","ZQBMHN,"21"
"ZAFMDP","GAKBLY,"20"
"ZXEFTO","OQALBK,"25"
"AEQDRK","LXMJDN,"23"
"LCEEUY","WCSXXP,"21"
"ZDBUNK","KKCBYR,"33"
"KUFESA","IONTQH,"25"
"OTHRRG","XONWLM,"26"
"RCQSQS","IBQGOQ,"21"
"JDMHWV","ZQBMHN,"21"
"HGFGQZ","MOLEDQ,"21"
"WCANTE","MZHHQC,"29"
"KJPWHN","IBQGOQ,"21"
"RUSTML","QWYOTV,"23"
"HRHWTH","VCWBZM,"22"
"SKFBXU","XONWLM,"26"
"ZUEOTE","AJSECG,"20"
"BRNNOK","XBDXHB,"21"
"ZRVNHC","AGZJRL,"28"
"GKFXVY","HQFPSM,"22"
"VHSEVI","OVVCAR,"30"
"HWEELE","QNBGEN,"26"
"MQLNFI","AGZJRL,"28"
"ASTCCD","VCWBZM,"22"
"IKFTGY","WCSXXP,"21"
"HIGCWL","JTUBCC,"19"
"HIHLWS","CCQPLJ,"25"
"BNLUKS","KQUIXQ,"31"
"NHPBVH","FYBKWT,"29"
"DFRUMW","SYOPAJ,"21"
"NDGCDE","AGZJRL,"28"
"AOOHUZ","IBQGOQ,"21"
"KMJABI","JQZPEH,"24"
"XBOCEL","NAYFSY,"37"
"LLFPNN","QEUHKZ,"25"
"KFWSPG","AOTLSY,"26"
"ERYCCG","OSNAKW,"23"
"PMMGSE","IBQGOQ,"21"
"PMPNVI","WJVEOS,"23"
"KYHEMN","QWYOTV,"23"
"XIQKYI","BFDARC,"40"
"BLWCYN","AGZJRL,"28"
"YOSOAY","PASKRO,"28"
"UGRUFM","KKCBYR,"33"
"QJCWQN","IBQGOQ,"21"
"VTFFYL","DMIQAG,"18"
"HDEBDN","BCZZEC,"31"
"LPSHYK","IBQGOQ,"21"
"MWZVOY","KOFNKV,"28"
"STWBMX","PIHJUG,"25"
"JTZDSU","SYOPAJ,"21"
"NNXWIH","IBQGOQ,"21"
"NBWTXC","MZYPNO,"31"
"CAGJZP","QWYOTV,"23"
"JPQTRX","VTOBES,"27"
"VKLLYG","HQNGIU,"23"
"VCSQNW","BEICAO,"23"
"NHGJAF","MVIANU,"27"
"MFKJCN","KCUYCY,"29"
"YFAGJR","SYOPAJ,"21"
"POJKLY","XONWLM,"26"
"PPFTGE","ZGRYWE,"27"
"PSEZGS","AGZJRL,"28"
"JJFXAE","EBJZFD,"31"
"YBGNAP","SWBCYV,"24"
"KHYPLD","KBNKRW,"21"
"IOLTCG","IBQGOQ,"21"
"UUIUTI","CCQPLJ,"25"
"UUMGFS","VCWBZM,"22"
"QTSOXI","RTWZDL,"23"
"EZVYNG","UQLHUJ,"44"
"ZWQTOA","WCSXXP,"21"
"ICRFAJ","VZJMDG,"26"
"HOUNDM","VCWBZM,"22"
"ANZYDV","LKTINV,"24"
"JVTSJR","VHHPYP,"22"
"EMZBOF","APBKGB,"19"
"OASKHE","VQCZHT,"30"
"DLFZAK","IBQGOQ,"21"
"GYIXEP","APBKGB,"19"
"ZPSBCO","VMQTEI,"25"
"UKTPOM","VMZRIH,"22"
"QFPQVZ","HAXWYI,"30"
"YATZBL","LKTINV,"24"
"KQUUFA","PIHJUG,"25"
"KSBRGI","SCOZOG,"24"
"OPMHBC","LIFJZQ,"22"
"ZKSSQF","MZYPNO,"31"
"GVFTPD","IMSHBZ,"25"
"MGCOTZ","SUAHLV,"26"
"FUVPJF","WAFZHB,"36"
"JDRHSI","WVZJUH,"28"
"FXTCSX","ZCEMDM,"19"
"QCLMDY","JFGXZU,"23"
"LYGBMX","KKCBYR,"33"
"YYYHCI","KZQMRX,"27"
"BRXPXX","NWTTDQ,"28"
"XOZYCI","VBXMJC,"23"
"NBYSIR","VCWBZM,"22"
"CONQSV","GUEDEW,"21"
"REVJCM","AECLWV,"20"
"QHOEHL","WUOKPG,"24"
"DPRFDC","XPYJMI,"37"
"BEXJBH","HYGREC,"79"
"GMXUPS","AGZJRL,"28"
"HLPVPM","IBQGOQ,"21"
"GHDPFG","QXVWTD,"30"
"XVAZGU","BGGVZY,"51"
"FACCAC","OSNAKW,"23"
"HWKBUG","URJKOX,"19"
"RTMJNC","GYOGYX,"21"
"OITBDO","HJMORY,"25"
"LRKLEW","GMDQCM,"32"
"ORGOXY","VCWBZM,"22"
"DEPINL","IBQGOQ,"21"
"DFIKLP","IBQGOQ,"21"
"FZZIVP","ZFCDSC,"41"
"ZVMBLE","CFEYAH,"20"
"MZBGKJ","SYOPAJ,"21"
"XYAXAI","IBQGOQ,"21"
"ALHLJF","IBQGOQ,"21"
"BNADES","IBQGOQ,"21"
"HPBXOE","IBQGOQ,"21"
"OKUIZE","CVGYMW,"27"
"PZJCZO","ACFBCN,"24"
"IXOBCX","VCWBZM,"22"
"ZNXBTW","GJRBCF,"30"
"PQZZOC","VCWBZM,"22"
"QFUNBO","LTDRCL,"20"
"NQOVQM","TFYWPI,"24"
"TRJCEJ","XONWLM,"26"
"DGBFJU","ECWPWX,"28"
"ZKNPCM","SYOPAJ,"21"
"YQSLTO","VZJMDG,"26"
"LBUKUW","IBQGOQ,"21"
"FTLNDI","OQALBK,"25"
"VVZUET","BFDARC,"40"
"VWKINQ","NSXHFN,"24"
"ZZCAQO","PIHJUG,"25"
"KYPEJV","EJSMAT,"23"
"EEXPFQ","HBVUXI,"30"
"BRXZXW","XONWLM,"26"
"LMGTKN","PASKRO,"28"
"VHYZQC","WXXTDX,"31"
"XAXHGM","SYOPAJ,"21"
"XGEPVW","CWDUBJ,"19"
"TLMLYG","IBQGOQ,"21"
"QHKABX","KCUYCY,"29"
"YYUJXX","IBQGOQ,"21"
"BRGWUL","ECWPWX,"28"
"PWJPAZ","YPXTCS,"29"
"WGIRDP","PIHJUG,"25"
"INLTVQ","GAKBLY,"20"
"WOKOLQ","QDZDPL,"34"
"EPFTLT","HBCKTB,"20"
"RGSPEE","HOMVOR,"20"
"DNMUBJ","IBQGOQ,"21"
"UYXPSM","QXCEHR,"28"
"NMZNCF","TFYWPI,"24"
"ZAUZQC","KCUYCY,"29"
"DDYHGW","NAYFSY,"37"
"ACVNWF","HYMGQJ,"22"
"SQZPSY","VTOBES,"27"
"RKHHJA","THDIJM,"24"
"HVRUJC","BSFFLV,"22"
"IXPCKV","IBQGOQ,"21"
"IXQNYD","QNUPVB,"45"
"UETUNA","CWDUBJ,"19"
"DWJKUZ","HILWOQ,"31"
"HOCZLS","QYBKJU,"28"
"NAMPDY","VBXMJC,"23"
"LTNDSB","VKSWMK,"26"
"XNJYDV","ECNQRO,"19"
"PYZXJL","VCWBZM,"22"
"KRCQJS","ZQBMHN,"21"
"UVSBRI","HSKIGZ,"26"
"VJCNWS","CUPZTQ,"27"
"ILGQXD","KZQMRX,"27"
"BQQKEG","KQUIXQ,"31"
"GJKIHS","SYOPAJ,"21"
"ITCQFP","AGMXUQ,"27"
"JGPGAO","DRZFAT,"26"
"RVGQOF","IONTQH,"25"
"QBQCIU","ACFBCN,"24"
"HRJGEW","PWFTXY,"24"
"JYGTJS","AGZJRL,"28"
"THVGUI","FELCTK,"27"
"JLNZZD","IBQGOQ,"21"
"KOZKNG","XONWLM,"26"
"FHCTZB","HTXZDY,"27"
"CPDFQO","XDCBAS,"22"
"JFURRZ","CCQPLJ,"25"
"JCNDPG","JNOWCL,"24"
"LBFBZZ","IWPTYL,"25"
"XCSWBX","SEHRQO,"19"
"MQRIZW","IBQGOQ,"21"
"MRLLHX","QXCEHR,"28"
"MSDXLT","ACXDGL,"26"
"EPEBZQ","OVVCAR,"30"
"QGOWDT","PIHJUG,"25"
"SDJCME","IBQGOQ,"21"
"BNMBUS","ECWPWX,"28"
"WCXXHH","AGZJRL,"28"
"EGVQUG","IBQGOQ,"21"
"UVIWBQ","CJISFP,"28"
"TQKVAH","QWYOTV,"23"
"UIHGBQ","IBQGOQ,"21"
"GZPSDH","CWDUBJ,"19"
"QVJTBU","QWYOTV,"23"
"YSGJFG","LMAVZM,"32"
"PQMTCP","URJKOX,"19"
"VSRODM","IBQGOQ,"21"
"RUDYWS","XONWLM,"26"
"ZYYMLV","HQFPSM,"22"
"EGPMNC","HDANTL,"30"
"LHFLGZ","ECWPWX,"28"
"NGEDIJ","IBQGOQ,"21"
"PBKSKY","HZZHYX,"24"
"KPIJDR","KKCBYR,"33"
"ATMUMF","FRLRZH,"29"
"IJJJTH","RPLPLU,"29"
"VKFHAV","ECWPWX,"28"
"CZGCCK","IBQGOQ,"21"
"XDLJON","AGMXUQ,"27"
"WPGUDZ","TWHYPQ,"27"
"IQMBIQ","KWLIAE,"28"
"QDGFEM","OSNAKW,"23"
"RTHSHN","IBQGOQ,"21"
"TTKDIB","IBQGOQ,"21"
"AZIETM","GAXQGB,"27"
"BAHPCF","SYOPAJ,"21"
"KXFBYS","DGLRHX,"24"
"QKSLJE","QPQSDM,"22"
"EHRFZP","AGZJRL,"28"
"MIWRVB","IBQGOQ,"21"
"VQNIFH","OHHHCO,"25"
"DHWBYC","IBQGOQ,"21"
"HAMUXD","IBQGOQ,"21"
"TFJQRR","CCQPLJ,"25"
"WANTTN","ZQBMHN,"21"
"ABYUSZ","BVALQU,"26"
"PAHYBF","VCWBZM,"22"
"IWWFMF","RTWZDL,"23"
"FFPDCS","WMVTVV,"28"
"XELJWZ","TJPGDD,"24"
"TCFGNP","HXYRCE,"24"
"ZVTOCU","PIHJUG,"25"
"DWHGGP","KZQMRX,"27"
"LBVXDV","RMOTWP,"22"
"GZLCPQ","OSXFLC,"20"
"GZQVKF","VSYFZQ,"24"
"INGNHJ","IBQGOQ,"21"
"OZQWPS","LWXBLH,"25"
"MPQZHW","NHQEMG,"25"
"HYXSXU","ZFMJBM,"27"
"VIKOBP","MRLZOI,"23"
"IKNMDN","XONWLM,"26"
"GVCAXO","KCLJNC,"24"
"OAMPWG","HILWOQ,"31"
"VWWEZA","YIRMVL,"28"
"BGAHKS","XVGSUK,"31"
"ZYZBTW","PCCZHT,"21"
"ZYZSHN","XONWLM,"26"
"XZZBVA","URJKOX,"19"
"QYDOUA","AGZJRL,"28"
"VHNZND","HVCGGM,"25"
"VCLCQG","HTXZDY,"27"
"STOSGI","MZHHQC,"29"
"DTLAWG","KCUYCY,"29"
"DTVYXJ","SYOPAJ,"21"
"LFWVAH","VTOBES,"27"
"VHNLQN","KKCBYR,"33"
"UFKDPQ","KQUIXQ,"31"
"RGSFMJ","CJISFP,"28"
"EAZUMF","QZGPOJ,"45"
"ZUYNZP","IBQGOQ,"21"
"TIGDAT","IBQGOQ,"21"
"TIWZOE","SVQYUZ,"25"
"UVGKKW","GWVYUU,"49"
"LAQYNU","AGZJRL,"28"
"XCVHVQ","YPXTCS,"29"
"GWDRBC","OQALBK,"25"
"JMXNBQ","HQFPSM,"22"
"FHBWXC","KHFUTO,"24"
"ACMHGF","YPXTCS,"29"
"OUUITC","ULEVIS,"30"
"JVUCQZ","CFEYAH,"20"
"QMJKZZ","HQNGIU,"23"
"ONHCLQ","IBQGOQ,"21"
"OOBFRM","ZHKCOX,"24"
"VQCHYV","WVZJUH,"28"
"PFBDRU","OVVCAR,"30"
"MAADZI","XBDXHB,"21"
"YXANFE","CJISFP,"28"
"VMUONY","HQFPSM,"22"
"DLORBF","HBVUXI,"30"
"PXPTQV","HTXZDY,"27"
"MKKZYK","CFEYAH,"20"
"CGDTRF","AHJVDR,"29"
"QNTQJN","VZJMDG,"26"
"FFZBGV","IBQGOQ,"21"
"VQBAQV","BZDCWE,"22"
"VJONEY","YPXTCS,"29"
"BQTYHC","NWTTDQ,"28"
"MCHQYG","IBQGOQ,"21"
"KNNPSQ","YPXTCS,"29"
"GCGHBU","PIHJUG,"25"
"NTMLVD","GOBPIG,"20"
"JFXIZB","RFOFKJ,"28"
"OGPAYQ","YPXTCS,"29"
"QRNBBZ","PIHJUG,"25"
"NFMKEQ","SYOPAJ,"21"
"CCKZAT","IBQGOQ,"21"
"UHSBWK","IONTQH,"25"
"ZAAAED","SYOPAJ,"21"
"DTMPJQ","KKCBYR,"33"
"PGWASG","SEHRQO,"19"
"PGZKDZ","IWPTYL,"25"
"MZOSOU","QWYOTV,"23"
"CREASV","FODVPW,"38"
"GWDMMZ","KVECTU,"34"
"YFXLRX","MOKODQ,"22"
"QPDVAA","FDZNOL,"22"
"HZIOSB","IBQGOQ,"21"
"BWYUMZ","SYOPAJ,"21"
"UJYPLO","OSNAKW,"23"
"JVRPJQ","PIHJUG,"25"
"JXNAGV","SYOPAJ,"21"
"GPDIGF","RTWZDL,"23"
"XMLWXN","CCQPLJ,"25"
"UTZYJY","PESUPE,"48"
"XDKVKA","XONWLM,"26"
"AHDGUP","VCWBZM,"22"
"DXZTCP","HSKIGZ,"26"
"SHAKJZ","CCQPLJ,"25"
"YWWXFO","ZQBMHN,"21"
"DLNITD","RTWZDL,"23"
"LNPLIV","OSNAKW,"23"
"OSVZGI","IBQGOQ,"21"
"PYDIMW","IBQGOQ,"21"
"RRPEVF","QEUHKZ,"25"
"QMPGWG","AZJTJR,"22"
"SCQVQZ","IBQGOQ,"21"
"KALDHB","AGZJRL,"28"
"SNLFIH","VZJMDG,"26"
"SYZSZK","BAIAHL,"23"
"HIZRID","IBQGOQ,"21"
"KVPCOB","BHMFFN,"30"
"OKOIPX","MZHHQC,"29"
"OLVASH","PIHJUG,"25"
"SJWCEU","MWYBBL,"23"
"AUFYWY","WEPYNP,"21"
"QBSDEP","VQOKNT,"20"
"BUXGHU","BFDARC,"40"
"UNVHSZ","QWYOTV,"23"
"YOAGYE","EXQMAW,"32"
"MDLMBV","ZQBMHN,"21"
"XPDNMU","SYOPAJ,"21"
"CQYAPE","VCWBZM,"22"
"REMJXN","TYPCSJ,"22"
"CAIMOA","RFOFKJ,"28"
"IRLWZJ","CCQPLJ,"25"
"IVCQSB","SYOPAJ,"21"
"JCALIO","PYUWJK,"27"
"TDPQRT","SSEXON,"20"
"WTMZQI","IBQGOQ,"21"
"UTVZKV","IBQGOQ,"21"
"LADGXT","AECLWV,"20"
"QSTTIT","AHNYUM,"24"
"QPDPWN","IBQGOQ,"21"
"PSUJXZ","SYOPAJ,"21"
"THQBZD","XPYJMI,"37"
"VLHRGL","FRLRZH,"29"
"DTIJRH","TWDZMV,"25"
"XPXHLS","GEZNNI,"34"
"UXIWVG","GMDQCM,"32"
"YWKAXK","XONWLM,"26"
"LUNUUF","OSNAKW,"23"
"QUMRCW","FODVPW,"38"
"QUOSYK","QRYLCS,"20"
"PQMWCF","SYOPAJ,"21"
"JKIQTQ","QWYOTV,"23"
"TBQSON","EYIVCX,"22"
"FDBSHW","BFDARC,"40"
"JASZRB","QWYOTV,"23"
"ZLKPCO","XONWLM,"26"
"KNFLBU","HZZHYX,"24"
"GXZJEC","FDZNOL,"22"
"LUNMCQ","IBQGOQ,"21"
"MHEBFY","KKCBYR,"33"
"CJROLC","KKCBYR,"33"
"OHGIYP","XLQVJJ,"34"
"NOUVAE","TWHYPQ,"27"
"KREHYQ","LIFJZQ,"22"
"JYNYFW","THDIJM,"24"
"CVPWVR","IBQGOQ,"21"
"UFVJLK","VBXMJC,"23"
"XHDIMQ","LIBMUQ,"24"
"VXCTMN","XVGSUK,"31"
"IVFVRW","BPOPII,"27"
"JDYDFL","YPXTCS,"29"
"DOWQAK","BHPHXQ,"27"
"IPXUVI","KKCBYR,"33"
"EXMVUV","ZQBMHN,"21"
"YTFNUL","ZJTAGI,"25"
"EUEQBZ","IBQGOQ,"21"
"KFHIOO","GPIVOL,"29"
"RKJKPE","IBQGOQ,"21"
"QAFFYT","OZFMOL,"29"
"CDDGGP","IBQGOQ,"21"
"IZBYPN","UZXPUS,"27"
"UVAEPA","IBQGOQ,"21"
"MIVOBT","IBQGOQ,"21"
"XUKWLE","OSNAKW,"23"
"VMBSGI","IBQGOQ,"21"
"ZEYLOK","VCWBZM,"22"
"DXJNRC","MGIXQN,"23"
"VSEHCL","SYOPAJ,"21"
"OUKXWC","ECWPWX,"28"
"WTAWNV","VCWBZM,"22"
"LUFLSO","IBQGOQ,"21"
"OTANXP","IBQGOQ,"21"
"WQJLOB","HJMORY,"25"
"SRHRCU","XBDXHB,"21"
"EZROUS","VZJMDG,"26"
"IXGPPG","QNUPVB,"45"
"DZJKMM","ZFJTWJ,"24"
"BQCTRP","OSNAKW,"23"
"GIWHKP","FYBKWT,"29"
"GJADIP","OCVHYJ,"23"
"TVARMX","HNCBSO,"21"
"HAGJJQ","QWYOTV,"23"
"RTWALV","ABXBXF,"32"
"UOLGRR","GOBPIG,"20"
"NQCULK","AGZJRL,"28"
"QZQCRB","HLQIOF,"40"
"OPABWF","VQCZHT,"30"
"WNBQHN","GFGMLR,"25"
"JIEGJW","CCQPLJ,"25"
"IVUFSE","HQNGIU,"23"
"YZMQCD","LMAVZM,"32"
"YZYEZR","HSKIGZ,"26"
"PGJSEJ","IBQGOQ,"21"
"GBEUEC","JQZPEH,"24"
"RVNKVP","IBQGOQ,"21"
"TGFVFY","IBQGOQ,"21"
"WLDUAV","VTOBES,"27"
"DECCXN","IBQGOQ,"21"
"KTPBTB","PIHJUG,"25"
"WZRCBE","COGIHS,"21"
"HOQBJL","BAIAHL,"23"
"USUAWJ","ECWPWX,"28"
"PPWFGM","VTOBES,"27"
"VDYHLG","FDZNOL,"22"
"SWGUGH","ZQBMHN,"21"
"DYAMTH","IBQGOQ,"21"
"FUNRNT","IBQGOQ,"21"
"HGKOOZ","GEZNNI,"34"
"LXGSWX","OQALBK,"25"
"XIDJRW","IBQGOQ,"21"
"NYGMIV","URJKOX,"19"
"MPMHPI","GYOGYX,"21"
"MFSGTG","ECNQRO,"19"
"ZGZXMQ","KKCBYR,"33"
"SXWFHX","HBVUXI,"30"
"KBPJQY","XPYJMI,"37"
"WJNLBG","QXCEHR,"28"
"GFVGQK","UYUGVN,"22"
"SEYTYB","PIHJUG,"25"
"AWOLUV","ECWPWX,"28"
"DOGWTI","AGZJRL,"28"
"SKIQUF","KUPLCX,"27"
"LDWWHV","AECLWV,"20"
"NGMBEC","QYBKJU,"28"
"WGWRPC","GYOGYX,"21"
"GTUMHL","CWDUBJ,"19"
"QSNBZU","BMOXVG,"23"
"XCVLRH","THDIJM,"24"
"XHEVXY","GEZNNI,"34"
"FMZCGB","BHMFFN,"30"
"YWNMCK","SYOPAJ,"21"
"WCZAPD","VCWBZM,"22"
"WEBEKB","AZJTJR,"22"
"HPZOSV","SYOPAJ,"21"
"LSHCNL","FNMTSX,"28"
"YLRHRF","AHNYUM,"24"
"YVSLDG","BSFFLV,"22"
"ODSERN","OSNAKW,"23"
"VLERQF","VCWBZM,"22"
"ZAKQRG","IBQGOQ,"21"
"XQIXNM","KKCBYR,"33"
"ZIVIIF","IBQGOQ,"21"
"EKBQLA","SLVNSU,"23"
"MSYNUQ","ZXPSEP,"22"
"ZNQCCN","INLPBA,"21"
"CNEWUG","CUPZTQ,"27"
"UEINHR","NWTTDQ,"28"
"YEOIIT","GOBPIG,"20"
"UGOMNK","GMZEQQ,"34"
"UHWDHX","XONWLM,"26"
"WMPQTM","SWBCYV,"24"
"VZZAUZ","VSQRTI,"28"
"EODPMA","KJXEPP,"26"
"OAGPXS","VBXMJC,"23"
"SJQNYO","VHALXX,"28"
"AVFZNJ","APBKGB,"19"
"VWTRVJ","AECLWV,"20"
"EVSFRM","HSKIGZ,"26"
"FYLLEL","SYOPAJ,"21"
"LXIKQV","AHNYUM,"24"
"NBIXRK","NFGVID,"31"
"NBYFJR","AGZJRL,"28"
"VHXTAW","LIFJZQ,"22"
"IGLCIN","ZQBMHN,"21"
"YCDDAM","PCCZHT,"21"
"WVVSFA","FFZZUQ,"27"
"JFLVGF","IBQGOQ,"21"
"SLGTPZ","VCWBZM,"22"
"NJBTEX","BEICAO,"23"
"GPWMBJ","HRQNWX,"27"
"GQMRCA","ZFJTWJ,"24"
"CDJOCE","MBCLCN,"29"
"UUGAOT","QWYOTV,"23"
"QSXYCL","PASKRO,"28"
"RIAOEV","IBQGOQ,"21"
"JXVIPC","ETEEHF,"33"
"XPYGWZ","OVVCAR,"30"
"HFADBM","RBDTQY,"21"
"ABYTCY","KKCBYR,"33"
"YMBKZF","GYOGYX,"21"
"YNKNQZ","JFGXZU,"23"
"GSDOIY","IBQGOQ,"21"
"QULJIK","APBKGB,"19"
"EZITMI","AGZJRL,"28"
"YDXGME","AGZJRL,"28"
"KBEQOF","PIHJUG,"25"
"DAEWNX","XONWLM,"26"
"FQUIMK","SYERSC,"20"
"PEFWKI","VBXMJC,"23"
"WNZQQU","KKCBYR,"33"
"VYXPGP","RMOTWP,"22"
"AMXDOK","PASKRO,"28"
"GRVSSS","XONWLM,"26"
"CXJMUP","IBQGOQ,"21"
"CXKHXW","IBQGOQ,"21"
"EFAZTR","BZHAJS,"26"
"BKWYBZ","ECNQRO,"19"
"TQPEGD","IBQGOQ,"21"
"FCFQWO","VZJMDG,"26"
"SJEPRS","BMOXVG,"23"
"YPXABQ","RMOTWP,"22"
"AQTSHL","EBVCFT,"22"
"QCVHAO","HQNGIU,"23"
"LYBXGK","QWYOTV,"23"
"YASWRT","PVWICZ,"27"
"THVARY","MZYPNO,"31"
"LOWFEM","QWYOTV,"23"
"LJSJOF","CUPZTQ,"27"
"HKDRZF","OCYDRK,"22"
"ZSASSW","HWJCBN,"24"
"NVRRPJ","ZQBMHN,"21"
"QPHZFL","TWDZMV,"25"
"PCTYVV","ZTAFFB,"32"
"COYNTV","ECWPWX,"28"
"KEHOCZ","VZJMDG,"26"
"JFBTER","WRAXYJ,"25"
"SKRXHW","OSNAKW,"23"
"WAFRFB","VBXMJC,"23"
"SALSRM","IBQGOQ,"21"
"HPCWRW","XVGSUK,"31"
"OIYETS","YPXTCS,"29"
"WTAENQ","IBQGOQ,"21"
"IYWSKM","XVGSUK,"31"
"RWZWJN","BHMFFN,"30"
"MYIHKK","QWYOTV,"23"
"LIOTTL","IONTQH,"25"
"LIVKXD","YPXTCS,"29"
"HDTWLL","ZQBMHN,"21"
"RVRCTM","QXCEHR,"28"
"WITQSN","BHPHXQ,"27"
"NTKJML","APBKGB,"19"
"PAHMDL","OSNAKW,"23"
"MSFJRB","ASSNJO,"24"
"PQYSZD","ZGTLYN,"25"
"UKUEMO","CCQPLJ,"25"
"YNXJXB","IBQGOQ,"21"
"YHDVLF","VMZRIH,"22"
"EOTFDL","IBQGOQ,"21"
"LCDPXI","OMWYBZ,"24"
"LUJGWS","GOBPIG,"20"
"ILVNGK","AGZJRL,"28"
"MHLSVK","ZYWXZC,"21"
"SJVEMW","GAKBLY,"20"
"HDPRKX","VMFSAB,"28"
"RTYBBG","ZQBMHN,"21"
"BUYDFN","AGZJRL,"28"
"YYPDPE","VKSWMK,"26"
"MOEGRS","FNMTSX,"28"
"CZCQPM","IBQGOQ,"21"
"XZDHYW","IBQGOQ,"21"
"HKDXKU","AECLWV,"20"
"GGORAI","DRTCGZ,"21"
"OMRITB","ZTNPLB,"25"
"LAPKRC","APBKGB,"19"
"JMRUKK","IBQGOQ,"21"
"PBSBWR","VCWBZM,"22"
"IVWVBM","HNCBSO,"21"
"SSXICQ","GAKBLY,"20"
"SHPYQL","UFQHFN,"21"
"VNFJGB","NCUGFA,"21"
"TXIUKE","VBXMJC,"23"
"AOJYDB","ECNQRO,"19"
"UPRCVD","QNUPVB,"45"
"ZPYFGK","XONWLM,"26"
"BYVHZT","UFQHFN,"21"
