"OrderID","DeviceName","DeviceType"
"ICRFAJ","Android Tabled","Android (Tablet)"
"HOUNDM","Desktop Mac","Desktop"
"ANZYDV","Android Tabled","Android (Tablet)"
"JVTSJR","iPhone","iPhone"
"EMZBOF","Android Tabled","Android (Tablet)"
"OASKHE","iPad","iPad"
"DLFZAK","Desconhecido","Desconhecido"
"GYIXEP","Desktop Windows","Desktop"
"ZPSBCO","iPhone","iPhone"
"UKTPOM","iPhone","iPhone"
"QFPQVZ","Android Tabled","Android (Tablet)"
"YATZBL","Android Tabled","Android (Tablet)"
"KQUUFA","Desconhecido","Desconhecido"
"KSBRGI","Android Phone","Android"
"OPMHBC","Desktop Mac","Desktop"
"ZKSSQF","Desktop Windows","Desktop"
"GVFTPD","Desktop Windows","Desktop"
"MGCOTZ","iPad","iPad"
"FUVPJF","iPhone","iPhone"
"JDRHSI","Android Tabled","Android (Tablet)"
"FXTCSX","Desktop Mac","Desktop"
"QCLMDY","iPhone","iPhone"
"LYGBMX","Desktop Windows","Desktop"
"YYYHCI","Android Phone","Android"
"BRXPXX","Desktop Mac","Desktop"
"XOZYCI","Android Phone","Android"
"NBYSIR","Desktop Mac","Desktop"
"CONQSV","Desconhecido","Desconhecido"
"REVJCM","iPhone","iPhone"
"QHOEHL","iPad","iPad"
"DPRFDC","Android Tabled","Android (Tablet)"
"BEXJBH","Desktop Windows","Desktop"
"GMXUPS","Android Tabled","Android (Tablet)"
"HLPVPM","iPad","iPad"
"GHDPFG","Desconhecido","Desconhecido"
"XVAZGU","Android Tabled","Android (Tablet)"
"FACCAC","iPad","iPad"
"HWKBUG","Android Phone","Android"
"RTMJNC","Desktop Mac","Desktop"
"OITBDO","Desconhecido","Desconhecido"
"LRKLEW","iPhone","iPhone"
"ORGOXY","Desconhecido","Desconhecido"
"DEPINL","Android Phone","Android"
"DFIKLP","Desktop Windows","Desktop"
"FZZIVP","Desktop Windows","Desktop"
"ZVMBLE","Desktop Mac","Desktop"
"MZBGKJ","Android Tabled","Android (Tablet)"
"XYAXAI","Desconhecido","Desconhecido"
"ALHLJF","Desktop Windows","Desktop"
"BNADES","Desconhecido","Desconhecido"
"HPBXOE","Desktop Windows","Desktop"
"OKUIZE","Android Tabled","Android (Tablet)"
"PZJCZO","Desktop Windows","Desktop"
"IXOBCX","Desktop Mac","Desktop"
"ZNXBTW","iPad","iPad"
"PQZZOC","Android Tabled","Android (Tablet)"
"QFUNBO","Desktop Mac","Desktop"
"NQOVQM","iPad","iPad"
"TRJCEJ","Android Tabled","Android (Tablet)"
"DGBFJU","iPad","iPad"
"ZKNPCM","Android Phone","Android"
"YQSLTO","Desktop Windows","Desktop"
"LBUKUW","iPad","iPad"
"FTLNDI","iPhone","iPhone"
"VVZUET","Desconhecido","Desconhecido"
"VWKINQ","iPad","iPad"
"ZZCAQO","Desconhecido","Desconhecido"
"KYPEJV","Desktop Mac","Desktop"
"EEXPFQ","Desktop Windows","Desktop"
"BRXZXW","Desconhecido","Desconhecido"
"LMGTKN","Android Phone","Android"
"VHYZQC","Desconhecido","Desconhecido"
"XAXHGM","iPhone","iPhone"
"XGEPVW","iPad","iPad"
"TLMLYG","Desconhecido","Desconhecido"
"QHKABX","Android Phone","Android"
"YYUJXX","Desktop Windows","Desktop"
"BRGWUL","Desconhecido","Desconhecido"
"PWJPAZ","iPhone","iPhone"
"WGIRDP","Desktop Windows","Desktop"
"INLTVQ","Android Tabled","Android (Tablet)"
"WOKOLQ","Desktop Windows","Desktop"
"EPFTLT","iPhone","iPhone"
"RGSPEE","Desktop Windows","Desktop"
"DNMUBJ","Desconhecido","Desconhecido"
"UYXPSM","Android Phone","Android"
"NMZNCF","Android Phone","Android"
"ZAUZQC","iPad","iPad"
"DDYHGW","Android Tabled","Android (Tablet)"
"ACVNWF","Desktop Mac","Desktop"
"SQZPSY","Desconhecido","Desconhecido"
"RKHHJA","Desktop Mac","Desktop"
"HVRUJC","Desktop Windows","Desktop"
"IXPCKV","iPhone","iPhone"
"IXQNYD","Desconhecido","Desconhecido"
"UETUNA","Android Tabled","Android (Tablet)"
"DWJKUZ","iPhone","iPhone"
"HOCZLS","Android Phone","Android"
"NAMPDY","iPad","iPad"
"LTNDSB","Android Phone","Android"
"XNJYDV","iPad","iPad"
"PYZXJL","iPhone","iPhone"
"KRCQJS","iPhone","iPhone"
"UVSBRI","iPhone","iPhone"
"VJCNWS","Android Phone","Android"
"ILGQXD","Android Tabled","Android (Tablet)"
"BQQKEG","Desconhecido","Desconhecido"
"GJKIHS","Android Tabled","Android (Tablet)"
"ITCQFP","iPhone","iPhone"
"JGPGAO","Desconhecido","Desconhecido"
"RVGQOF","Android Phone","Android"
"QBQCIU","Android Tabled","Android (Tablet)"
"HRJGEW","Desktop Mac","Desktop"
"JYGTJS","Android Tabled","Android (Tablet)"
"THVGUI","Desktop Windows","Desktop"
"JLNZZD","Desktop Mac","Desktop"
"KOZKNG","Desktop Windows","Desktop"
"FHCTZB","Android Phone","Android"
"CPDFQO","iPhone","iPhone"
"JFURRZ","Android Tabled","Android (Tablet)"
"JCNDPG","Desktop Mac","Desktop"
"LBFBZZ","Desktop Mac","Desktop"
"XCSWBX","Desktop Windows","Desktop"
"MQRIZW","Android Phone","Android"
"MRLLHX","Desktop Mac","Desktop"
"MSDXLT","Desktop Windows","Desktop"
"EPEBZQ","Android Tabled","Android (Tablet)"
"QGOWDT","Desktop Windows","Desktop"
"SDJCME","Desconhecido","Desconhecido"
"BNMBUS","iPad","iPad"
"WCXXHH","Desktop Windows","Desktop"
"EGVQUG","iPhone","iPhone"
"UVIWBQ","Android Tabled","Android (Tablet)"
"TQKVAH","iPad","iPad"
"UIHGBQ","Desconhecido","Desconhecido"
"GZPSDH","Desktop Mac","Desktop"
"QVJTBU","iPad","iPad"
"YSGJFG","iPad","iPad"
"PQMTCP","iPad","iPad"
"VSRODM","Desktop Windows","Desktop"
"RUDYWS","Android Phone","Android"
"ZYYMLV","Android Tabled","Android (Tablet)"
"EGPMNC","Desconhecido","Desconhecido"
"LHFLGZ","Desktop Mac","Desktop"
"NGEDIJ","iPhone","iPhone"
"PBKSKY","Desktop Windows","Desktop"
"KPIJDR","iPhone","iPhone"
"ATMUMF","iPhone","iPhone"
"IJJJTH","Android Phone","Android"
"VKFHAV","iPad","iPad"
"CZGCCK","Android Phone","Android"
"XDLJON","Android Tabled","Android (Tablet)"
"WPGUDZ","Android Phone","Android"
"IQMBIQ","Desconhecido","Desconhecido"
"QDGFEM","Desktop Mac","Desktop"
"RTHSHN","Android Tabled","Android (Tablet)"
"TTKDIB","Desktop Windows","Desktop"
"AZIETM","Desktop Mac","Desktop"
"BAHPCF","Desktop Windows","Desktop"
"KXFBYS","Desktop Windows","Desktop"
"QKSLJE","iPhone","iPhone"
"EHRFZP","Android Tabled","Android (Tablet)"
"MIWRVB","iPad","iPad"
"VQNIFH","Desktop Windows","Desktop"
"DHWBYC","Desktop Windows","Desktop"
"HAMUXD","Android Phone","Android"
"TFJQRR","iPad","iPad"
"WANTTN","Desconhecido","Desconhecido"
"ABYUSZ","Desktop Windows","Desktop"
"PAHYBF","iPhone","iPhone"
"IWWFMF","iPad","iPad"
"FFPDCS","Desconhecido","Desconhecido"
"XELJWZ","Android Tabled","Android (Tablet)"
"TCFGNP","Desktop Mac","Desktop"
"ZVTOCU","iPhone","iPhone"
"DWHGGP","Desconhecido","Desconhecido"
"LBVXDV","Desconhecido","Desconhecido"
"GZLCPQ","Android Tabled","Android (Tablet)"
"GZQVKF","Desconhecido","Desconhecido"
"INGNHJ","Desktop Mac","Desktop"
"OZQWPS","iPhone","iPhone"
"MPQZHW","iPad","iPad"
"HYXSXU","Desktop Windows","Desktop"
"VIKOBP","Android Tabled","Android (Tablet)"
"IKNMDN","Android Phone","Android"
"GVCAXO","Desktop Windows","Desktop"
"OAMPWG","Desconhecido","Desconhecido"
"VWWEZA","Android Phone","Android"
"BGAHKS","Android Phone","Android"
"ZYZBTW","iPhone","iPhone"
"ZYZSHN","iPhone","iPhone"
"XZZBVA","Android Phone","Android"
"QYDOUA","Desktop Windows","Desktop"
"VHNZND","Desktop Mac","Desktop"
"VCLCQG","Desconhecido","Desconhecido"
"STOSGI","iPad","iPad"
"DTLAWG","iPhone","iPhone"
"DTVYXJ","Desktop Mac","Desktop"
"LFWVAH","iPhone","iPhone"
"VHNLQN","iPhone","iPhone"
"UFKDPQ","iPhone","iPhone"
"RGSFMJ","Android Tabled","Android (Tablet)"
"EAZUMF","Android Tabled","Android (Tablet)"
"ZUYNZP","Desconhecido","Desconhecido"
"TIGDAT","Android Phone","Android"
"TIWZOE","Desktop Windows","Desktop"
"UVGKKW","iPad","iPad"
"LAQYNU","Desconhecido","Desconhecido"
"XCVHVQ","Android Phone","Android"
"GWDRBC","Desktop Mac","Desktop"
"JMXNBQ","Desconhecido","Desconhecido"
"FHBWXC","iPhone","iPhone"
"ACMHGF","Desktop Windows","Desktop"
"OUUITC","Android Phone","Android"
"JVUCQZ","Android Tabled","Android (Tablet)"
"QMJKZZ","iPhone","iPhone"
"ONHCLQ","iPhone","iPhone"
"OOBFRM","Desktop Mac","Desktop"
"VQCHYV","Desconhecido","Desconhecido"
"PFBDRU","Android Tabled","Android (Tablet)"
"MAADZI","iPad","iPad"
"YXANFE","Android Phone","Android"
"VMUONY","Desconhecido","Desconhecido"
"DLORBF","Desconhecido","Desconhecido"
"PXPTQV","Desktop Windows","Desktop"
"MKKZYK","Desktop Mac","Desktop"
"CGDTRF","Android Tabled","Android (Tablet)"
"QNTQJN","iPad","iPad"
"FFZBGV","Android Tabled","Android (Tablet)"
"VQBAQV","Desktop Mac","Desktop"
"VJONEY","Android Tabled","Android (Tablet)"
"BQTYHC","Android Tabled","Android (Tablet)"
"MCHQYG","iPad","iPad"
"KNNPSQ","iPad","iPad"
"GCGHBU","Desktop Windows","Desktop"
"NTMLVD","Android Tabled","Android (Tablet)"
"JFXIZB","Desconhecido","Desconhecido"
"OGPAYQ","iPad","iPad"
"QRNBBZ","Desktop Windows","Desktop"
"NFMKEQ","Desktop Mac","Desktop"
"CCKZAT","Android Phone","Android"
"UHSBWK","Desktop Windows","Desktop"
"ZAAAED","Android Tabled","Android (Tablet)"
"DTMPJQ","Android Phone","Android"
"PGWASG","Android Phone","Android"
"PGZKDZ","Desconhecido","Desconhecido"
"MZOSOU","iPhone","iPhone"
"CREASV","iPad","iPad"
"GWDMMZ","Desktop Mac","Desktop"
"YFXLRX","Desconhecido","Desconhecido"
"QPDVAA","Desktop Windows","Desktop"
"HZIOSB","Desktop Windows","Desktop"
"BWYUMZ","iPhone","iPhone"
"UJYPLO","Desconhecido","Desconhecido"
"JVRPJQ","Android Phone","Android"
"JXNAGV","Desktop Windows","Desktop"
"GPDIGF","iPad","iPad"
"XMLWXN","Desconhecido","Desconhecido"
"UTZYJY","Desktop Mac","Desktop"
"XDKVKA","iPhone","iPhone"
"AHDGUP","iPhone","iPhone"
"DXZTCP","Desktop Windows","Desktop"
"SHAKJZ","iPhone","iPhone"
"YWWXFO","Desktop Windows","Desktop"
"DLNITD","Desktop Mac","Desktop"
"LNPLIV","iPad","iPad"
"OSVZGI","Desktop Windows","Desktop"
"PYDIMW","iPad","iPad"
"RRPEVF","iPhone","iPhone"
"QMPGWG","Android Phone","Android"
"SCQVQZ","Desconhecido","Desconhecido"
"KALDHB","Android Tabled","Android (Tablet)"
"SNLFIH","iPad","iPad"
"SYZSZK","Android Phone","Android"
"HIZRID","iPad","iPad"
"KVPCOB","Desconhecido","Desconhecido"
"OKOIPX","Desconhecido","Desconhecido"
"OLVASH","Desktop Mac","Desktop"
"SJWCEU","Desktop Mac","Desktop"
"AUFYWY","iPad","iPad"
"QBSDEP","Desktop Windows","Desktop"
"BUXGHU","Desktop Windows","Desktop"
"UNVHSZ","Desconhecido","Desconhecido"
"YOAGYE","iPhone","iPhone"
"MDLMBV","Desktop Mac","Desktop"
"XPDNMU","Android Phone","Android"
"CQYAPE","Desktop Windows","Desktop"
"REMJXN","iPhone","iPhone"
"CAIMOA","Android Phone","Android"
"IRLWZJ","Android Tabled","Android (Tablet)"
"IVCQSB","iPad","iPad"
"JCALIO","iPad","iPad"
"TDPQRT","Desktop Windows","Desktop"
"WTMZQI","Desktop Mac","Desktop"
"UTVZKV","Android Tabled","Android (Tablet)"
"LADGXT","Desktop Windows","Desktop"
"QSTTIT","iPhone","iPhone"
"QPDPWN","Desktop Mac","Desktop"
"PSUJXZ","Android Phone","Android"
"THQBZD","Android Phone","Android"
"VLHRGL","Android Tabled","Android (Tablet)"
"DTIJRH","Desktop Mac","Desktop"
"XPXHLS","Android Tabled","Android (Tablet)"
"UXIWVG","Android Tabled","Android (Tablet)"
"YWKAXK","Desktop Windows","Desktop"
"LUNUUF","Android Phone","Android"
"QUMRCW","iPhone","iPhone"
"QUOSYK","iPhone","iPhone"
"PQMWCF","Android Tabled","Android (Tablet)"
"JKIQTQ","Android Phone","Android"
"TBQSON","Desktop Windows","Desktop"
"FDBSHW","Desconhecido","Desconhecido"
"JASZRB","Android Tabled","Android (Tablet)"
"ZLKPCO","Desconhecido","Desconhecido"
"KNFLBU","iPhone","iPhone"
"GXZJEC","iPhone","iPhone"
"LUNMCQ","iPad","iPad"
"MHEBFY","Android Phone","Android"
"CJROLC","Android Phone","Android"
"OHGIYP","iPad","iPad"
"NOUVAE","Desconhecido","Desconhecido"
"KREHYQ","Desktop Windows","Desktop"
"JYNYFW","iPad","iPad"
"CVPWVR","Desktop Windows","Desktop"
"UFVJLK","Android Tabled","Android (Tablet)"
"XHDIMQ","iPhone","iPhone"
"VXCTMN","Android Tabled","Android (Tablet)"
"IVFVRW","Desktop Windows","Desktop"
"JDYDFL","Android Tabled","Android (Tablet)"
"DOWQAK","iPhone","iPhone"
"IPXUVI","Android Phone","Android"
"EXMVUV","Android Tabled","Android (Tablet)"
"YTFNUL","Desktop Mac","Desktop"
"EUEQBZ","Android Tabled","Android (Tablet)"
"KFHIOO","Android Phone","Android"
"RKJKPE","Android Tabled","Android (Tablet)"
"QAFFYT","Desconhecido","Desconhecido"
"CDDGGP","Android Phone","Android"
"IZBYPN","iPad","iPad"
"UVAEPA","Android Phone","Android"
"MIVOBT","iPhone","iPhone"
"XUKWLE","Desktop Windows","Desktop"
"VMBSGI","iPhone","iPhone"
"ZEYLOK","iPad","iPad"
"DXJNRC","Desktop Mac","Desktop"
"VSEHCL","Android Phone","Android"
"OUKXWC","Desconhecido","Desconhecido"
"WTAWNV","iPad","iPad"
"LUFLSO","iPhone","iPhone"
"OTANXP","Android Phone","Android"
"WQJLOB","iPad","iPad"
"SRHRCU","Desconhecido","Desconhecido"
"EZROUS","iPhone","iPhone"
"IXGPPG","Desconhecido","Desconhecido"
"DZJKMM","iPad","iPad"
"BQCTRP","iPhone","iPhone"
"GIWHKP","Desktop Mac","Desktop"
"GJADIP","Android Tabled","Android (Tablet)"
"TVARMX","iPad","iPad"
"HAGJJQ","Android Tabled","Android (Tablet)"
"RTWALV","Desconhecido","Desconhecido"
"UOLGRR","Desktop Mac","Desktop"
"NQCULK","Desktop Windows","Desktop"
"QZQCRB","iPhone","iPhone"
"OPABWF","iPhone","iPhone"
"WNBQHN","Desconhecido","Desconhecido"
"JIEGJW","Desktop Windows","Desktop"
"IVUFSE","Desktop Windows","Desktop"
"YZMQCD","Desconhecido","Desconhecido"
"YZYEZR","Desconhecido","Desconhecido"
"PGJSEJ","Desktop Windows","Desktop"
"GBEUEC","Desktop Windows","Desktop"
"RVNKVP","iPad","iPad"
"TGFVFY","Android Phone","Android"
"WLDUAV","Desktop Mac","Desktop"
"DECCXN","Desktop Mac","Desktop"
"KTPBTB","Desktop Windows","Desktop"
"WZRCBE","Desktop Mac","Desktop"
"HOQBJL","iPad","iPad"
"USUAWJ","Desktop Windows","Desktop"
"PPWFGM","Desktop Mac","Desktop"
"VDYHLG","iPad","iPad"
"SWGUGH","Desktop Windows","Desktop"
"DYAMTH","Desktop Mac","Desktop"
"FUNRNT","iPhone","iPhone"
"HGKOOZ","iPad","iPad"
"LXGSWX","Android Tabled","Android (Tablet)"
"XIDJRW","iPad","iPad"
"NYGMIV","Desktop Mac","Desktop"
"MPMHPI","iPhone","iPhone"
"MFSGTG","Desktop Mac","Desktop"
"ZGZXMQ","Desktop Mac","Desktop"
"SXWFHX","iPad","iPad"
"KBPJQY","Desconhecido","Desconhecido"
"WJNLBG","iPad","iPad"
"GFVGQK","Desktop Mac","Desktop"
"SEYTYB","Android Phone","Android"
"AWOLUV","Android Phone","Android"
"DOGWTI","Desconhecido","Desconhecido"
"SKIQUF","Android Phone","Android"
"LDWWHV","iPad","iPad"
"NGMBEC","iPad","iPad"
"WGWRPC","iPad","iPad"
"GTUMHL","iPad","iPad"
"QSNBZU","Desktop Windows","Desktop"
"XCVLRH","Desktop Mac","Desktop"
"XHEVXY","Desconhecido","Desconhecido"
"FMZCGB","iPad","iPad"
"YWNMCK","Android Phone","Android"
"WCZAPD","Desconhecido","Desconhecido"
"WEBEKB","Desconhecido","Desconhecido"
"HPZOSV","Android Tabled","Android (Tablet)"
"LSHCNL","Desconhecido","Desconhecido"
"YLRHRF","iPad","iPad"
"YVSLDG","Desktop Mac","Desktop"
"ODSERN","Android Tabled","Android (Tablet)"
"VLERQF","Android Tabled","Android (Tablet)"
"ZAKQRG","Android Phone","Android"
"XQIXNM","Desktop Mac","Desktop"
"ZIVIIF","Desktop Mac","Desktop"
"EKBQLA","Desconhecido","Desconhecido"
"MSYNUQ","Desconhecido","Desconhecido"
"ZNQCCN","iPad","iPad"
"CNEWUG","Desconhecido","Desconhecido"
"UEINHR","Android Tabled","Android (Tablet)"
"YEOIIT","Android Tabled","Android (Tablet)"
"UGOMNK","Desktop Mac","Desktop"
"UHWDHX","Desktop Windows","Desktop"
"WMPQTM","Desktop Mac","Desktop"
"VZZAUZ","Desktop Windows","Desktop"
"EODPMA","iPhone","iPhone"
"OAGPXS","Android Phone","Android"
"SJQNYO","iPhone","iPhone"
"AVFZNJ","Desktop Windows","Desktop"
"VWTRVJ","Desconhecido","Desconhecido"
"EVSFRM","iPhone","iPhone"
"FYLLEL","Desktop Mac","Desktop"
"LXIKQV","Android Phone","Android"
"NBIXRK","Desktop Windows","Desktop"
"NBYFJR","Desktop Windows","Desktop"
"VHXTAW","iPad","iPad"
"IGLCIN","Android Phone","Android"
"YCDDAM","iPad","iPad"
"WVVSFA","Android Phone","Android"
"JFLVGF","Desktop Windows","Desktop"
"SLGTPZ","iPhone","iPhone"
"NJBTEX","Desconhecido","Desconhecido"
"GPWMBJ","Android Tabled","Android (Tablet)"
"GQMRCA","iPhone","iPhone"
"CDJOCE","Desktop Mac","Desktop"
"UUGAOT","Desconhecido","Desconhecido"
"QSXYCL","Android Phone","Android"
"RIAOEV","Android Tabled","Android (Tablet)"
"JXVIPC","Android Phone","Android"
"XPYGWZ","Desconhecido","Desconhecido"
"HFADBM","Desconhecido","Desconhecido"
"ABYTCY","Desconhecido","Desconhecido"
"YMBKZF","Desktop Windows","Desktop"
"YNKNQZ","Android Phone","Android"
"GSDOIY","iPad","iPad"
"QULJIK","iPhone","iPhone"
"EZITMI","Desktop Windows","Desktop"
"YDXGME","Desktop Windows","Desktop"
"KBEQOF","Desktop Windows","Desktop"
"DAEWNX","iPhone","iPhone"
"FQUIMK","Android Phone","Android"
"PEFWKI","Android Tabled","Android (Tablet)"
"WNZQQU","Desktop Windows","Desktop"
"VYXPGP","iPad","iPad"
"AMXDOK","Android Tabled","Android (Tablet)"
"GRVSSS","Android Phone","Android"
"CXJMUP","Android Phone","Android"
"CXKHXW","iPhone","iPhone"
"EFAZTR","iPad","iPad"
"BKWYBZ","Android Phone","Android"
"TQPEGD","iPad","iPad"
"FCFQWO","Desconhecido","Desconhecido"
"SJEPRS","Android Phone","Android"
"YPXABQ","iPad","iPad"
"AQTSHL","Android Tabled","Android (Tablet)"
"QCVHAO","Android Phone","Android"
"LYBXGK","Desktop Windows","Desktop"
"YASWRT","Desconhecido","Desconhecido"
"THVARY","iPad","iPad"
"LOWFEM","Desktop Windows","Desktop"
"LJSJOF","iPad","iPad"
"HKDRZF","Desktop Mac","Desktop"
"ZSASSW","Android Phone","Android"
